missing_evidence_action_id,evidence_presence_row_id,source_id,source_type,rights_status,pipeline_gap_status,review_lanes,phase_names,missing_file_role,file_to_open,join_strategy,missing_reason,action_type,action_priority,action_status,evidence_presence_matrix_path,file_checklist_path,source_summary_path,source_gap_summary_path,route_ids,result_scaffold_ids,action_ids,review_status,rights_decision_status,source_promotion_status,corpus_import_status,decipherment_claim_status,research_boundary,caution,updated_at
source-pipeline-phase-action-missing-evidence-001,source-pipeline-phase-action-evidence-presence-009,src-british-museum-oracle-bone,museum_collection,metadata_only_until_verified,needs_download_or_access_review,access_and_checksum_boundary_resolution,cleaned;downloaded;extracted;linked;structured;unpacked;verified,downloaded_metadata_profile,corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv,source_id,no_source_matched_rows_in_review_file,review_downloaded_metadata_profile_or_mark_not_applicable,metadata_profile_gap_review,pending_human_review,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,corpus/009_statistics-and-derived-features/141_source-pipeline-phase-action-file-checklist.csv,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,corpus/009_statistics-and-derived-features/143_source-pipeline-phase-action-evidence-gap-summary.csv,source-pipeline-phase-action-route-001;source-pipeline-phase-action-route-002;source-pipeline-phase-action-route-003;source-pipeline-phase-action-route-004;source-pipeline-phase-action-route-005;source-pipeline-phase-action-route-006;source-pipeline-phase-action-route-007,source-pipeline-phase-action-result-scaffold-001;source-pipeline-phase-action-result-scaffold-002;source-pipeline-phase-action-result-scaffold-003;source-pipeline-phase-action-result-scaffold-004;source-pipeline-phase-action-result-scaffold-005;source-pipeline-phase-action-result-scaffold-006;source-pipeline-phase-action-result-scaffold-007,source-pipeline-phase-action-001;source-pipeline-phase-action-002;source-pipeline-phase-action-003;source-pipeline-phase-action-004;source-pipeline-phase-action-005;source-pipeline-phase-action-006;source-pipeline-phase-action-007,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_missing_evidence_action_queue_not_scholarship,"This source pipeline missing-evidence action queue only expands existing missing source-file presence signals into human-review tasks. It does not collect new evidence, decide rights, promote sources, import corpus records, or make decipherment conclusions.",2026-06-19
source-pipeline-phase-action-missing-evidence-002,source-pipeline-phase-action-evidence-presence-010,src-british-museum-oracle-bone,museum_collection,metadata_only_until_verified,needs_download_or_access_review,access_and_checksum_boundary_resolution,cleaned;downloaded;extracted;linked;structured;unpacked;verified,large_source_register,project_registry/006_large-source-register/001_large-source-register.csv,source_package_id_via_package_manifest,no_source_matched_rows_in_review_file,review_large_source_register_applicability_or_mark_not_applicable,large_source_register_gap_review,pending_human_review,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,corpus/009_statistics-and-derived-features/141_source-pipeline-phase-action-file-checklist.csv,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,corpus/009_statistics-and-derived-features/143_source-pipeline-phase-action-evidence-gap-summary.csv,source-pipeline-phase-action-route-001;source-pipeline-phase-action-route-002;source-pipeline-phase-action-route-003;source-pipeline-phase-action-route-004;source-pipeline-phase-action-route-005;source-pipeline-phase-action-route-006;source-pipeline-phase-action-route-007,source-pipeline-phase-action-result-scaffold-001;source-pipeline-phase-action-result-scaffold-002;source-pipeline-phase-action-result-scaffold-003;source-pipeline-phase-action-result-scaffold-004;source-pipeline-phase-action-result-scaffold-005;source-pipeline-phase-action-result-scaffold-006;source-pipeline-phase-action-result-scaffold-007,source-pipeline-phase-action-001;source-pipeline-phase-action-002;source-pipeline-phase-action-003;source-pipeline-phase-action-004;source-pipeline-phase-action-005;source-pipeline-phase-action-006;source-pipeline-phase-action-007,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_missing_evidence_action_queue_not_scholarship,"This source pipeline missing-evidence action queue only expands existing missing source-file presence signals into human-review tasks. It does not collect new evidence, decide rights, promote sources, import corpus records, or make decipherment conclusions.",2026-06-19
source-pipeline-phase-action-missing-evidence-003,source-pipeline-phase-action-evidence-presence-007,src-british-museum-oracle-bone,museum_collection,metadata_only_until_verified,needs_download_or_access_review,access_and_checksum_boundary_resolution,cleaned;downloaded;extracted;linked;structured;unpacked;verified,source_field_map,corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv,source_id,no_source_matched_rows_in_review_file,review_or_create_source_field_map_row,field_map_gap_review,pending_human_review,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,corpus/009_statistics-and-derived-features/141_source-pipeline-phase-action-file-checklist.csv,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,corpus/009_statistics-and-derived-features/143_source-pipeline-phase-action-evidence-gap-summary.csv,source-pipeline-phase-action-route-001;source-pipeline-phase-action-route-002;source-pipeline-phase-action-route-003;source-pipeline-phase-action-route-004;source-pipeline-phase-action-route-005;source-pipeline-phase-action-route-006;source-pipeline-phase-action-route-007,source-pipeline-phase-action-result-scaffold-001;source-pipeline-phase-action-result-scaffold-002;source-pipeline-phase-action-result-scaffold-003;source-pipeline-phase-action-result-scaffold-004;source-pipeline-phase-action-result-scaffold-005;source-pipeline-phase-action-result-scaffold-006;source-pipeline-phase-action-result-scaffold-007,source-pipeline-phase-action-001;source-pipeline-phase-action-002;source-pipeline-phase-action-003;source-pipeline-phase-action-004;source-pipeline-phase-action-005;source-pipeline-phase-action-006;source-pipeline-phase-action-007,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_missing_evidence_action_queue_not_scholarship,"This source pipeline missing-evidence action queue only expands existing missing source-file presence signals into human-review tasks. It does not collect new evidence, decide rights, promote sources, import corpus records, or make decipherment conclusions.",2026-06-19
source-pipeline-phase-action-missing-evidence-004,source-pipeline-phase-action-evidence-presence-008,src-british-museum-oracle-bone,museum_collection,metadata_only_until_verified,needs_download_or_access_review,access_and_checksum_boundary_resolution,cleaned;downloaded;extracted;linked;structured;unpacked;verified,source_package_file_manifest,corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv,source_id,no_source_matched_rows_in_review_file,review_package_manifest_applicability_or_create_row,package_manifest_gap_review,pending_human_review,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,corpus/009_statistics-and-derived-features/141_source-pipeline-phase-action-file-checklist.csv,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,corpus/009_statistics-and-derived-features/143_source-pipeline-phase-action-evidence-gap-summary.csv,source-pipeline-phase-action-route-001;source-pipeline-phase-action-route-002;source-pipeline-phase-action-route-003;source-pipeline-phase-action-route-004;source-pipeline-phase-action-route-005;source-pipeline-phase-action-route-006;source-pipeline-phase-action-route-007,source-pipeline-phase-action-result-scaffold-001;source-pipeline-phase-action-result-scaffold-002;source-pipeline-phase-action-result-scaffold-003;source-pipeline-phase-action-result-scaffold-004;source-pipeline-phase-action-result-scaffold-005;source-pipeline-phase-action-result-scaffold-006;source-pipeline-phase-action-result-scaffold-007,source-pipeline-phase-action-001;source-pipeline-phase-action-002;source-pipeline-phase-action-003;source-pipeline-phase-action-004;source-pipeline-phase-action-005;source-pipeline-phase-action-006;source-pipeline-phase-action-007,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_missing_evidence_action_queue_not_scholarship,"This source pipeline missing-evidence action queue only expands existing missing source-file presence signals into human-review tasks. It does not collect new evidence, decide rights, promote sources, import corpus records, or make decipherment conclusions.",2026-06-19
source-pipeline-phase-action-missing-evidence-005,source-pipeline-phase-action-evidence-presence-019,src-cambridge-hopkins,library_collection,metadata_only_until_verified,needs_safe_derived_record_review,safe_derived_record_decision,unpacked;verified,downloaded_metadata_profile,corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv,source_id,no_source_matched_rows_in_review_file,review_downloaded_metadata_profile_or_mark_not_applicable,metadata_profile_gap_review,pending_human_review,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,corpus/009_statistics-and-derived-features/141_source-pipeline-phase-action-file-checklist.csv,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,corpus/009_statistics-and-derived-features/143_source-pipeline-phase-action-evidence-gap-summary.csv,source-pipeline-phase-action-route-008;source-pipeline-phase-action-route-009,source-pipeline-phase-action-result-scaffold-008;source-pipeline-phase-action-result-scaffold-009,source-pipeline-phase-action-008;source-pipeline-phase-action-009,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_missing_evidence_action_queue_not_scholarship,"This source pipeline missing-evidence action queue only expands existing missing source-file presence signals into human-review tasks. It does not collect new evidence, decide rights, promote sources, import corpus records, or make decipherment conclusions.",2026-06-19
source-pipeline-phase-action-missing-evidence-006,source-pipeline-phase-action-evidence-presence-020,src-cambridge-hopkins,library_collection,metadata_only_until_verified,needs_safe_derived_record_review,safe_derived_record_decision,unpacked;verified,large_source_register,project_registry/006_large-source-register/001_large-source-register.csv,source_package_id_via_package_manifest,no_source_matched_rows_in_review_file,review_large_source_register_applicability_or_mark_not_applicable,large_source_register_gap_review,pending_human_review,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,corpus/009_statistics-and-derived-features/141_source-pipeline-phase-action-file-checklist.csv,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,corpus/009_statistics-and-derived-features/143_source-pipeline-phase-action-evidence-gap-summary.csv,source-pipeline-phase-action-route-008;source-pipeline-phase-action-route-009,source-pipeline-phase-action-result-scaffold-008;source-pipeline-phase-action-result-scaffold-009,source-pipeline-phase-action-008;source-pipeline-phase-action-009,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_missing_evidence_action_queue_not_scholarship,"This source pipeline missing-evidence action queue only expands existing missing source-file presence signals into human-review tasks. It does not collect new evidence, decide rights, promote sources, import corpus records, or make decipherment conclusions.",2026-06-19
source-pipeline-phase-action-missing-evidence-007,source-pipeline-phase-action-evidence-presence-018,src-cambridge-hopkins,library_collection,metadata_only_until_verified,needs_safe_derived_record_review,safe_derived_record_decision,unpacked;verified,source_package_file_manifest,corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv,source_id,no_source_matched_rows_in_review_file,review_package_manifest_applicability_or_create_row,package_manifest_gap_review,pending_human_review,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,corpus/009_statistics-and-derived-features/141_source-pipeline-phase-action-file-checklist.csv,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,corpus/009_statistics-and-derived-features/143_source-pipeline-phase-action-evidence-gap-summary.csv,source-pipeline-phase-action-route-008;source-pipeline-phase-action-route-009,source-pipeline-phase-action-result-scaffold-008;source-pipeline-phase-action-result-scaffold-009,source-pipeline-phase-action-008;source-pipeline-phase-action-009,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_missing_evidence_action_queue_not_scholarship,"This source pipeline missing-evidence action queue only expands existing missing source-file presence signals into human-review tasks. It does not collect new evidence, decide rights, promote sources, import corpus records, or make decipherment conclusions.",2026-06-19
source-pipeline-phase-action-missing-evidence-008,source-pipeline-phase-action-evidence-presence-040,src-gbedobc,open_research_dataset,source_marked_risk_noted,needs_package_manifest_review,metadata_profile_and_package_manifest_decision,linked;unpacked;verified,large_source_register,project_registry/006_large-source-register/001_large-source-register.csv,source_package_id_via_package_manifest,no_source_matched_rows_in_review_file,review_large_source_register_applicability_or_mark_not_applicable,large_source_register_gap_review,pending_human_review,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,corpus/009_statistics-and-derived-features/141_source-pipeline-phase-action-file-checklist.csv,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,corpus/009_statistics-and-derived-features/143_source-pipeline-phase-action-evidence-gap-summary.csv,source-pipeline-phase-action-route-011;source-pipeline-phase-action-route-012;source-pipeline-phase-action-route-013,source-pipeline-phase-action-result-scaffold-011;source-pipeline-phase-action-result-scaffold-012;source-pipeline-phase-action-result-scaffold-013,source-pipeline-phase-action-011;source-pipeline-phase-action-012;source-pipeline-phase-action-013,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_missing_evidence_action_queue_not_scholarship,"This source pipeline missing-evidence action queue only expands existing missing source-file presence signals into human-review tasks. It does not collect new evidence, decide rights, promote sources, import corpus records, or make decipherment conclusions.",2026-06-19
source-pipeline-phase-action-missing-evidence-009,source-pipeline-phase-action-evidence-presence-038,src-gbedobc,open_research_dataset,source_marked_risk_noted,needs_package_manifest_review,metadata_profile_and_package_manifest_decision,linked;unpacked;verified,source_package_file_manifest,corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv,source_id,no_source_matched_rows_in_review_file,review_package_manifest_applicability_or_create_row,package_manifest_gap_review,pending_human_review,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,corpus/009_statistics-and-derived-features/141_source-pipeline-phase-action-file-checklist.csv,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,corpus/009_statistics-and-derived-features/143_source-pipeline-phase-action-evidence-gap-summary.csv,source-pipeline-phase-action-route-011;source-pipeline-phase-action-route-012;source-pipeline-phase-action-route-013,source-pipeline-phase-action-result-scaffold-011;source-pipeline-phase-action-result-scaffold-012;source-pipeline-phase-action-result-scaffold-013,source-pipeline-phase-action-011;source-pipeline-phase-action-012;source-pipeline-phase-action-013,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_missing_evidence_action_queue_not_scholarship,"This source pipeline missing-evidence action queue only expands existing missing source-file presence signals into human-review tasks. It does not collect new evidence, decide rights, promote sources, import corpus records, or make decipherment conclusions.",2026-06-19
source-pipeline-phase-action-missing-evidence-010,source-pipeline-phase-action-evidence-presence-060,src-ihp-museum-oracle-bones,museum_collection,metadata_only_until_verified,needs_field_map_review,field_map_semantics_review,linked;unpacked;verified,large_source_register,project_registry/006_large-source-register/001_large-source-register.csv,source_package_id_via_package_manifest,no_source_matched_rows_in_review_file,review_large_source_register_applicability_or_mark_not_applicable,large_source_register_gap_review,pending_human_review,corpus/009_statistics-and-derived-features/142_source-pipeline-phase-action-evidence-presence-matrix.csv,corpus/009_statistics-and-derived-features/141_source-pipeline-phase-action-file-checklist.csv,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,corpus/009_statistics-and-derived-features/143_source-pipeline-phase-action-evidence-gap-summary.csv,source-pipeline-phase-action-route-015;source-pipeline-phase-action-route-016;source-pipeline-phase-action-route-017,source-pipeline-phase-action-result-scaffold-015;source-pipeline-phase-action-result-scaffold-016;source-pipeline-phase-action-result-scaffold-017,source-pipeline-phase-action-015;source-pipeline-phase-action-016;source-pipeline-phase-action-017,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_missing_evidence_action_queue_not_scholarship,"This source pipeline missing-evidence action queue only expands existing missing source-file presence signals into human-review tasks. It does not collect new evidence, decide rights, promote sources, import corpus records, or make decipherment conclusions.",2026-06-19
