summary_row_id,graph_file,source_id,edge_type,edge_count,unique_source_node_count,unique_target_node_count,review_status_counts,confidence_level_counts,generated_from,updated_at
graph-edge-type-summary-001,corpus/008_relationship-graph/005_hust-obc-candidate-graph-edges.jsonl,src-hust-obc,HAS_HUST_OBC_OCR_LABEL_CANDIDATE,1781,1781,1781,reviewed:1781,high:1781,relationship_graph_jsonl,2026-06-04
graph-edge-type-summary-002,corpus/008_relationship-graph/005_hust-obc-candidate-graph-edges.jsonl,src-hust-obc,HAS_HUST_OBC_SOURCE_CATEGORY,1781,1588,1781,reviewed:1781,high:1781,relationship_graph_jsonl,2026-06-04
graph-edge-type-summary-003,corpus/008_relationship-graph/006_obimd-component-graph-edges.jsonl,src-obimd,OBIMD_SUBCHARACTER_HAS_GLYPH_CODEPOINT,41686,2747,41686,reviewed:41686,high:41686,relationship_graph_jsonl,2026-06-04
graph-edge-type-summary-004,corpus/008_relationship-graph/006_obimd-component-graph-edges.jsonl,src-obimd,OBIMD_SUBCHARACTER_OF_MAIN_CHARACTER,2747,2747,1730,reviewed:2747,high:2747,relationship_graph_jsonl,2026-06-04
graph-edge-type-summary-005,corpus/008_relationship-graph/007_evobc-evolution-graph-edges.jsonl,src-evobc,EVOBC_CATEGORY_HAS_ERA_CODE,26378,13712,6,reviewed:26378,high:26378,relationship_graph_jsonl,2026-06-04
graph-edge-type-summary-006,corpus/008_relationship-graph/007_evobc-evolution-graph-edges.jsonl,src-evobc,EVOBC_CATEGORY_HAS_SOURCE_CODE,25301,13712,8,reviewed:25301,high:25301,relationship_graph_jsonl,2026-06-04
graph-edge-type-summary-007,corpus/008_relationship-graph/008_cambridge-hopkins-inscription-crosswalk-graph-edges.jsonl,src-cambridge-hopkins,HAS_CAMBRIDGE_HOPKINS_CHALFANT_REF,441,441,440,reviewed:441,high:441,relationship_graph_jsonl,2026-06-04
graph-edge-type-summary-008,corpus/008_relationship-graph/008_cambridge-hopkins-inscription-crosswalk-graph-edges.jsonl,src-cambridge-hopkins,HAS_CAMBRIDGE_HOPKINS_CLASSIFICATION_GROUP,612,612,21,reviewed:612,high:612,relationship_graph_jsonl,2026-06-04
graph-edge-type-summary-009,corpus/008_relationship-graph/008_cambridge-hopkins-inscription-crosswalk-graph-edges.jsonl,src-cambridge-hopkins,HAS_CAMBRIDGE_HOPKINS_CUL_REF,606,606,605,reviewed:606,high:606,relationship_graph_jsonl,2026-06-04
graph-edge-type-summary-010,corpus/008_relationship-graph/008_cambridge-hopkins-inscription-crosswalk-graph-edges.jsonl,src-cambridge-hopkins,HAS_CAMBRIDGE_HOPKINS_DOWNLOAD_RECORD,612,612,1,reviewed:612,high:612,relationship_graph_jsonl,2026-06-04
graph-edge-type-summary-011,corpus/008_relationship-graph/008_cambridge-hopkins-inscription-crosswalk-graph-edges.jsonl,src-cambridge-hopkins,HAS_CAMBRIDGE_HOPKINS_HEJI_REF,296,296,296,reviewed:296,high:296,relationship_graph_jsonl,2026-06-04
graph-edge-type-summary-012,corpus/008_relationship-graph/008_cambridge-hopkins-inscription-crosswalk-graph-edges.jsonl,src-cambridge-hopkins,HAS_CAMBRIDGE_HOPKINS_PERIOD_LABEL,612,612,6,reviewed:612,high:612,relationship_graph_jsonl,2026-06-04
graph-edge-type-summary-013,corpus/008_relationship-graph/008_cambridge-hopkins-inscription-crosswalk-graph-edges.jsonl,src-cambridge-hopkins,HAS_CAMBRIDGE_HOPKINS_SOURCE,612,612,1,reviewed:612,high:612,relationship_graph_jsonl,2026-06-04
graph-edge-type-summary-014,corpus/008_relationship-graph/008_cambridge-hopkins-inscription-crosswalk-graph-edges.jsonl,src-cambridge-hopkins,HAS_CAMBRIDGE_HOPKINS_YINGGUO_REF,612,612,611,reviewed:612,high:612,relationship_graph_jsonl,2026-06-04
graph-edge-type-summary-015,corpus/008_relationship-graph/009_character-asset-graph-edges.jsonl,src-hust-obc,CHARACTER_HAS_LOCAL_GLYPH_ASSET_CANDIDATE,12,12,12,needs_human_visual_review:12,high:12,relationship_graph_jsonl,2026-06-04
graph-edge-type-summary-016,corpus/008_relationship-graph/010_cross-source-id-graph-edges.jsonl,src-evobc,CHARACTER_HAS_EVOBC_CODEPOINT_LOOKUP_ROUTE,127,127,127,needs_cross_source_review:127,high:127,relationship_graph_jsonl,2026-06-04
graph-edge-type-summary-017,corpus/008_relationship-graph/010_cross-source-id-graph-edges.jsonl,src-evobc,CHARACTER_HAS_HUST_OBC_CODEPOINT_LOOKUP_ROUTE,127,127,127,needs_cross_source_review:127,high:127,relationship_graph_jsonl,2026-06-04
graph-edge-type-summary-018,corpus/008_relationship-graph/010_cross-source-id-graph-edges.jsonl,src-evobc,CHARACTER_HAS_OBIMD_CODEPOINT_LOOKUP_ROUTE,15,15,15,needs_cross_source_review:15,high:15,relationship_graph_jsonl,2026-06-04
graph-edge-type-summary-019,corpus/008_relationship-graph/010_cross-source-id-graph-edges.jsonl,src-hust-obc,CHARACTER_HAS_EVOBC_CODEPOINT_LOOKUP_ROUTE,127,127,127,needs_cross_source_review:127,high:127,relationship_graph_jsonl,2026-06-04
graph-edge-type-summary-020,corpus/008_relationship-graph/010_cross-source-id-graph-edges.jsonl,src-hust-obc,CHARACTER_HAS_HUST_OBC_CODEPOINT_LOOKUP_ROUTE,1588,1588,1588,needs_cross_source_review:1588,high:1588,relationship_graph_jsonl,2026-06-04
graph-edge-type-summary-021,corpus/008_relationship-graph/010_cross-source-id-graph-edges.jsonl,src-hust-obc,CHARACTER_HAS_OBIMD_CODEPOINT_LOOKUP_ROUTE,22,22,22,needs_cross_source_review:22,high:22,relationship_graph_jsonl,2026-06-04
graph-edge-type-summary-022,corpus/008_relationship-graph/010_cross-source-id-graph-edges.jsonl,src-obimd,CHARACTER_HAS_EVOBC_CODEPOINT_LOOKUP_ROUTE,15,15,15,needs_cross_source_review:15,high:15,relationship_graph_jsonl,2026-06-04
graph-edge-type-summary-023,corpus/008_relationship-graph/010_cross-source-id-graph-edges.jsonl,src-obimd,CHARACTER_HAS_HUST_OBC_CODEPOINT_LOOKUP_ROUTE,22,22,22,needs_cross_source_review:22,high:22,relationship_graph_jsonl,2026-06-04
graph-edge-type-summary-024,corpus/008_relationship-graph/010_cross-source-id-graph-edges.jsonl,src-obimd,CHARACTER_HAS_OBIMD_CODEPOINT_LOOKUP_ROUTE,22,22,22,needs_cross_source_review:22,high:22,relationship_graph_jsonl,2026-06-04
